,user_id,condition,id_int,puzzle_cnt,phase,chosen_graph,diff,greedy_solve,greedy_first_v,mis_size,prob,vertices,edges,intersects,valid_sols,success,success_fine,cumu_success,cumu_fail,cumu_quickfail,cumu_timeout,cumu_success_avg,cumu_fail_avg,has_success,has_fail,has_timeout,avg_success_diff,avg_fail_diff,avg_timeout_diff,time,clicks,max_is
0,static-inc:1,static-inc,30,1,pre-test,301,40.25320317266626,False,False,5,0.3278,10,15,1,1,True,success,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10.84,5,5
1,static-inc:1,static-inc,30,2,pre-test,306,83.8921568627451,True,True,7,0.1632,15,26,8,1,True,success,1,0,0,0,0.5,0.0,1,0,0,40.25320317266626,0,0,14.04,7,7
2,static-inc:1,static-inc,30,3,pre-test,303,69.83363148479428,False,True,6,0.2236,15,28,6,3,False,quick_blunder,2,0,0,0,0.6666666666666666,0.0,1,0,0,62.07268001770568,0,0,15.297,6,3
3,static-inc:1,static-inc,30,4,train,154,42.14330287497214,False,False,5,0.4487,12,19,5,5,True,success,2,1,1,0,0.5,0.25,1,1,0,62.07268001770568,69.83363148479428,0,15.837,5,5
4,self-det:1,self-det,0,1,pre-test,301,40.25320317266626,False,False,5,0.3278,10,15,1,1,True,success,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10.743,5,5
5,static-inc:1,static-inc,30,5,train,93,46.23716089404539,True,True,6,0.5861,13,23,6,5,True,success,3,1,1,0,0.6,0.2,1,1,0,55.42955430346117,69.83363148479428,0,12.409,6,6
6,self-det:2,self-det,1,1,pre-test,306,83.8921568627451,True,True,7,0.1632,15,26,8,1,False,quick_blunder,0,0,0,0,0.0,0.0,0,0,0,0,0,0,15.879,7,5
7,static-inc:1,static-inc,30,6,train,91,49.28662420382166,True,True,6,0.3925,13,21,3,3,True,success,4,1,1,0,0.6666666666666666,0.16666666666666666,1,1,0,53.13145595110722,69.83363148479428,0,12.504,6,6
8,static-inc:1,static-inc,30,7,train,140,51.37255950788981,True,True,5,0.3739,12,26,11,2,True,success,5,1,1,0,0.7142857142857143,0.14285714285714285,1,1,0,52.36248960165011,69.83363148479428,0,17.852,5,5
9,self-det:2,self-det,1,2,pre-test,303,69.83363148479428,False,True,6,0.2236,15,28,6,3,False,blunder,0,1,1,0,0.0,0.5,0,1,0,0,83.8921568627451,0,35.342,14,5
