,user_id,condition,id_int,puzzle_cnt,phase,chosen_graph,diff,mis_size,prob,vertices,edges,intersects,valid_sols,success,success_fine,cumu_success,cumu_fail,cumu_quickfail,cumu_timeout,cumu_success_avg,cumu_fail_avg,has_success,has_fail,has_timeout,avg_success_diff,avg_fail_diff,avg_timeout_diff,time,clicks,max_is
582,self-det:33,self-det,32,5,train,78,64.94240837696336,6,0.2865,14,30,15,2,True,success,3,1,1,0,0.6,0.2,1,1,0,64.46257126036795,64.5680473372781,0,40.554,12,6
583,self-det:17,self-det,16,11,train,93,46.23716089404539,6,0.5861,13,23,6,5,False,quick_blunder,2,7,3,1,0.18181818181818182,0.6363636363636364,1,1,1,43.297629233845285,64.28545392039094,64.96878901373283,13.673,5,5
584,static-inc:33,static-inc,72,6,train,34,49.13197636244255,6,0.4569,13,23,4,3,True,success,3,2,2,0,0.5,0.3333333333333333,1,1,0,42.77731167864133,76.56725530421879,0,47.912,18,6
585,self-det:25,self-det,24,3,pre-test,306,83.8921568627451,7,0.1632,15,26,8,1,False,time,1,1,0,0,0.3333333333333333,0.3333333333333333,1,1,0,40.25320317266626,69.52080344332855,0,90,22,6
586,static-inc:28,static-inc,67,7,train,94,51.562814070351756,6,0.4776,14,25,8,5,False,blunder,4,1,0,1,0.5714285714285714,0.14285714285714285,1,1,1,44.527494478400456,83.61370716510903,69.52080344332855,21.357,6,4
587,self-det:18,self-det,17,6,train,138,54.72731173567904,5,0.4661,13,31,21,4,True,success,1,4,1,0,0.16666666666666666,0.6666666666666666,1,1,0,64.94240837696336,64.6673327090756,0,49.654,5,5
588,self-det:32,self-det,31,2,pre-test,303,69.83363148479428,6,0.2236,15,28,6,3,True,success,1,0,0,0,0.5,0.0,1,0,0,40.168410805548795,0,0,31.581,6,6
589,static-inc:25,static-inc,64,4,train,13,41.73667656823344,5,0.5723,12,21,4,5,False,quick_blunder,2,1,0,0,0.5,0.25,1,1,0,55.001021145171535,83.61370716510903,0,18.155,5,4
590,static-inc:30,static-inc,69,1,pre-test,304,69.52080344332855,6,0.2788,15,33,17,3,False,quick_blunder,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18.962,6,5
591,self-det:24,self-det,23,11,train,26,97.5050505050505,7,0.1386,16,31,12,1,False,blunder,4,6,4,0,0.36363636363636365,0.5454545454545454,1,1,0,78.95106850897278,73.13226224319713,0,44.807,27,6
592,self-det:16,self-det,15,6,train,152,64.25192519251925,7,0.3636,16,29,9,4,False,blunder,2,3,1,0,0.3333333333333333,0.5,1,1,0,46.97910196865459,72.67179532906047,0,52.679,23,6
593,self-det:23,self-det,22,8,train,126,40.092562284051645,5,0.5499,12,19,3,7,True,success,1,6,2,0,0.125,0.75,1,1,0,38.899029895070285,59.4384523122524,0,16.125,5,5
594,static-inc:33,static-inc,72,7,train,140,51.37255950788981,5,0.3739,12,26,11,2,True,success,4,2,2,0,0.5714285714285714,0.2857142857142857,1,1,0,44.36597784959164,76.56725530421879,0,12.208,5,5
595,self-det:17,self-det,16,12,train,86,46.47120418848168,6,0.573,14,22,4,7,True,success,2,8,4,1,0.16666666666666666,0.6666666666666666,1,1,1,43.297629233845285,62.02941729209774,64.96878901373283,12.394,6,6
596,static-inc:18,static-inc,57,10,train,159,58.84938481120068,7,0.4714,16,28,13,10,True,success,6,3,0,0,0.6,0.3,1,1,0,48.72218147788386,66.55004040003968,0,31.131,11,7
597,self-det:21,self-det,20,5,train,9,64.96878901373283,6,0.2403,13,27,6,1,True,success,1,2,0,1,0.2,0.4,1,1,1,40.25320317266626,67.20083941103618,83.61370716510903,86.378,12,6
598,static-inc:24,static-inc,63,10,train,67,58.834616795012835,7,0.5454,16,30,15,8,False,time,6,2,2,1,0.6,0.2,1,1,1,48.23732198811024,66.58939053328338,69.52080344332855,90,35,6
599,static-inc:26,static-inc,65,6,train,34,49.13197636244255,6,0.4569,13,23,4,3,False,blunder,3,0,0,2,0.5,0.0,1,0,1,42.76147395176215,0,76.86289417376969,28.772,5,5
600,self-det:22,self-det,21,3,pre-test,302,40.168410805548795,5,0.4109,10,18,2,1,False,blunder,0,2,0,0,0.0,0.6666666666666666,0,1,0,0,76.70648015303682,0,26.048,7,3
601,static-inc:23,static-inc,62,5,train,93,46.23716089404539,6,0.5861,13,23,6,5,False,blunder,2,2,1,0,0.4,0.4,1,1,0,55.04341732873027,62.60903909279372,0,54.98,14,3
602,static-inc:20,static-inc,59,3,pre-test,306,83.8921568627451,7,0.1632,15,26,8,1,False,time,0,2,0,0,0.0,0.6666666666666666,0,1,0,0,54.84460712443867,0,90,15,5
603,self-det:23,self-det,22,9,train,156,40.27988121752042,5,0.5388,11,20,6,2,False,quick_blunder,2,6,2,0,0.2222222222222222,0.6666666666666666,1,1,0,39.49579608956097,59.4384523122524,0,17.859,5,3
604,self-det:24,self-det,23,12,train,19,94.97986577181209,7,0.149,16,32,13,1,False,blunder,4,7,4,0,0.3333333333333333,0.5833333333333334,1,1,0,78.95106850897278,76.6140891377476,0,21.138,7,5
605,self-det:17,self-det,16,13,train,131,46.45475372279496,5,0.4365,12,23,5,3,True,success,3,8,4,1,0.23076923076923078,0.6153846153846154,1,1,1,44.35548755205741,62.02941729209774,64.96878901373283,17.024,5,5
606,static-inc:28,static-inc,67,8,train,46,53.70500076464291,7,0.6539,16,27,8,14,False,blunder,4,2,0,1,0.5,0.25,1,1,1,44.527494478400456,67.5882606177304,69.52080344332855,26.796,11,5
607,static-inc:33,static-inc,72,8,train,72,54.265531726730046,6,0.4523,15,26,11,10,True,success,5,2,2,0,0.625,0.25,1,1,0,45.76729418125127,76.56725530421879,0,21.717,6,6
